actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,105.23841857910156
0.0,0.0
188.84799194335938,92.69512176513672
205.9004364013672,86.42745971679688
219.5424041748047,80.22180938720703
236.59483337402344,74.0310287475586
250.2367401123047,67.89929962158203
263.87872314453125,61.8243522644043
277.5206298828125,55.80400466918945
291.16259765625,49.836158752441406
301.39404296875,43.963558197021484
304.80450439453125,0.0
304.80450439453125,0.0
301.39404296875,0.0
301.39404296875,0.0
301.39404296875,0.0
301.39404296875,0.0
301.39404296875,0.0
297.9835205078125,0.0
297.9835205078125,0.0
294.57305908203125,0.0
287.7520751953125,0.0
284.34161376953125,0.0
274.11016845703125,0.0
263.87872314453125,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,63.911163330078125
0.0,59.54350662231445
0.0,54.94096755981445
193.2340545654297,50.2916374206543
237.5703582763672,45.23920822143555
268.26470947265625,0.0
295.54864501953125,0.0
322.83245849609375,0.0
346.70587158203125,0.0
370.5793151855469,0.0
404.6841735839844,0.0
408.0946960449219,0.0
418.3261413574219,0.0
435.3785095214844,0.0
438.7890319824219,0.0
442.1995544433594,0.0
452.4309997558594,0.0
459.2519226074219,0.0
469.4833679199219,0.0
472.8938903808594,0.0
469.4833679199219,45.44078826904297
